time,x,y,z
17,-0.03352,0.43381,9.75920
66,-0.03113,0.44099,10.24973
116,-0.15317,0.22324,11.17815
167,-0.42116,0.26871,10.68523
217,-0.35178,-0.07825,10.50815
266,-0.46902,0.02464,9.80228
316,-0.81598,-0.23857,9.93866
367,-1.25386,-0.20029,9.83577
417,-1.01459,-0.09021,9.64435
467,-0.84470,0.11797,9.44574
520,-0.66524,0.26392,9.27345
567,-0.60780,0.35484,9.53188
617,-0.64369,0.47449,9.75203
667,-0.76573,0.59413,9.54146
717,-0.70592,0.68027,10.04395
766,-0.83751,0.81187,9.29977
816,-1.06963,1.00330,10.09659
866,-1.20840,0.93152,9.91953
917,-1.32565,0.86931,10.44594
966,-1.38786,0.86931,10.44594
1016,-1.03372,0.88367,10.72830
1066,-0.69394,-0.32710,10.78333
1117,-0.06224,-1.00906,10.89818
1167,-0.27998,-0.76978,9.57495
1216,-0.40202,-0.26968,9.39549
1266,-0.53841,-0.06151,8.96478
1317,-0.26802,0.00310,9.30936
1367,-0.81358,-0.17636,9.77835
1417,-0.47142,0.02225,10.09659
1466,-0.70113,0.24478,9.90277
1519,-0.22017,0.51756,9.51035
1567,0.28711,-0.09979,10.02002
1617,0.27036,0.23999,9.88124
1666,-0.07899,0.75206,9.51753
1716,-0.47142,1.08705,9.84773
1767,-0.39006,1.19473,10.25691
1817,-0.09096,0.95544,10.52490
1866,-0.35178,0.83820,9.43378
1916,-0.10532,0.67070,10.70676
1967,-0.27281,0.36443,10.86948
2017,-0.59584,0.54388,11.23318
2066,-0.24170,0.39552,9.40266
2116,-1.06004,-0.65253,10.77136
2167,-0.25606,-0.64296,11.08482
2217,-0.77530,0.01506,7.96458
2266,-0.59105,0.20889,8.97675
2316,-0.75616,0.16582,9.38353
2366,-0.50252,0.32613,9.34525
2417,-0.51208,0.46013,9.30457
2466,-0.56712,0.68985,9.36438
2521,-0.64848,0.76642,10.20187
2567,-0.76334,0.89803,9.42421
2617,-0.56473,1.13969,9.95062
2666,-0.74420,1.17558,9.76160
2716,-0.68198,1.09662,10.48183
2766,-0.77530,1.01765,10.91014
2817,-0.32545,0.43860,11.46049
2867,-0.52406,-0.29121,10.17076
2916,-0.73462,-0.52092,11.49638
2966,-0.27042,-0.13089,9.20885
3017,0.08850,0.13950,8.70876
3067,-0.04549,-0.26489,9.46489
3116,-0.00960,-0.08543,9.40746
3167,-0.52884,0.03900,9.21364
3217,-0.10052,0.33092,9.53667
3266,0.23447,0.39552,9.30696
3316,0.26797,0.74966,10.61343
3366,-0.25845,0.78795,10.60147
3417,0.17465,0.49364,12.16878
3466,-0.13641,0.43141,11.37675
3520,0.10286,0.60370,9.57018
3567,-1.33044,-0.24814,10.36458
3617,-0.80641,0.25914,9.90277
3666,-0.53603,0.53430,8.07466
3716,-0.58388,0.13710,9.12750
3767,-0.54080,0.03900,9.91713
3817,-0.62933,0.44337,8.86189
3866,-0.17470,0.76402,8.43118
3917,-0.38049,0.93391,9.19688
3967,-0.05745,1.28326,9.49359
4016,-0.09813,1.59433,9.68980
4066,0.09808,1.22583,10.78572
4117,0.07893,0.80470,11.68782
4167,0.37804,0.60370,11.63039
4216,0.60774,-0.15961,10.99869
4266,0.22250,-0.49939,10.69958
4316,-0.29674,-0.16200,9.44574
4367,-0.16992,0.20650,8.61783
4416,-0.52406,0.08925,8.83318
4466,0.06218,0.19691,9.67784
4521,-0.19624,0.49602,8.62979
4566,0.01672,0.59174,9.37634
4616,0.25839,0.75684,9.12032
4667,0.16747,0.91956,9.65631
4716,-0.14838,1.19951,9.94106
4766,0.16747,1.31198,12.04195
4817,0.09808,0.72334,11.66150
4867,-0.09335,-0.25293,11.94624
4916,0.18901,0.10361,12.77895
4966,-0.27281,-0.30078,8.82840
5017,-0.23453,0.70419,8.46230
5067,0.06218,0.82384,7.95502
5116,-0.26085,0.57498,8.21822
5166,-0.78726,0.60849,9.29977
5217,-0.72505,0.67070,8.73747
5266,-0.64848,1.14687,8.80446
5316,-0.41159,0.80231,9.81424
5367,-0.15796,1.36940,10.81683
5417,-0.40681,1.53929,9.72809
5466,-0.67241,1.58716,8.95282
5516,-1.48119,1.40291,11.66150
5571,-0.72505,1.28087,9.87645
5616,-0.48576,0.77119,11.62799
