time,lx
22,9.00000
70,9.00000
119,9.00000
170,9.00000
220,9.00000
270,9.00000
320,9.00000
370,9.00000
420,9.00000
470,9.00000
520,9.00000
570,9.00000
620,9.00000
670,9.00000
721,9.00000
770,9.00000
820,9.00000
870,9.00000
920,9.00000
969,9.00000
1023,9.00000
1069,9.00000
1120,9.00000
1170,9.00000
1221,9.00000
1270,9.00000
1319,9.00000
1370,9.00000
1420,9.00000
1470,9.00000
1520,9.00000
1570,9.00000
1620,9.00000
1669,9.00000
1719,9.00000
1769,9.00000
1820,9.00000
1870,9.00000
1920,9.00000
1970,9.00000
2020,9.00000
2073,9.00000
2120,9.00000
2170,9.00000
2220,9.00000
2270,9.00000
2321,9.00000
2370,9.00000
2419,9.00000
2471,9.00000
2520,9.00000
2570,9.00000
2620,9.00000
2670,12.00000
2720,12.00000
2770,12.00000
2820,15.00000
2870,15.00000
2920,15.00000
2970,20.00000
3020,20.00000
3073,20.00000
3119,29.00000
3170,29.00000
3220,29.00000
3269,39.00000
3319,39.00000
3370,39.00000
3420,49.00000
3469,49.00000
3519,49.00000
3569,54.00000
3621,54.00000
3670,54.00000
3720,54.00000
3769,54.00000
3820,54.00000
3869,54.00000
3919,54.00000
3969,54.00000
4019,55.00000
4075,55.00000
4120,54.00000
4170,54.00000
4220,54.00000
4270,52.00000
4319,52.00000
4369,47.00000
4420,47.00000
4470,47.00000
4520,39.00000
4570,39.00000
4620,29.00000
4670,29.00000
4720,29.00000
4770,19.00000
4820,19.00000
4869,14.00000
4919,14.00000
4970,14.00000
5020,13.00000
5069,13.00000
5125,13.00000
5170,12.00000
5220,12.00000
5270,12.00000
5320,12.00000
5370,12.00000
5420,12.00000
5470,9.00000
